2024_02_10_00_07_06_956,0,0,0,0,0.0007115602,2.089198E-06,0.136037,-7.903357E-07,0.009255116,-2.3135E-05,0,-1.12097E-06,-4.332263E-05,4.54219E-08,-0.002340199,0.0003497348,0.02287266,,,
2024_02_10_00_07_06_990,0,0,0,0,0.0007101893,2.093306E-06,0.136037,-3.922426E-07,0.009255056,-2.318735E-05,0,-2.038011E-07,-5.517875E-05,-1.512234E-09,0.0001961071,-2.292282E-07,4.744652E-05,,,
2024_02_10_00_07_07_028,0,0,0,0,0.0007089972,2.098197E-06,0.1360369,1.683725E-07,0.009254788,-2.320894E-05,0,-2.043949E-07,9.572756E-07,-1.01897E-08,0.00189174,-3.789516E-05,-0.03048622,,,
2024_02_10_00_07_07_061,0,0,0,0,0.0007090867,2.102699E-06,0.1360369,1.334504E-06,0.009254908,-2.318687E-05,0,7.789608E-07,-1.30209E-05,-5.980581E-08,-0.003561743,-0.0003852443,0.0458814,,,
2024_02_10_00_07_07_098,0,0,0,0,0.0007079542,2.104178E-06,0.1360369,1.113488E-07,0.009255265,-2.318836E-05,0,1.075815E-07,-0.0001075545,-9.400643E-09,-0.00138957,-3.824887E-05,0.01542572,,,
2024_02_10_00_07_07_136,0,0,0,0,0.0007064939,2.107601E-06,0.1360371,-2.477886E-07,0.009255087,-2.327673E-05,0,6.21325E-07,-2.663217E-05,-2.201809E-08,0.0106258,-0.0002418575,-0.07676024,,,
2024_02_10_00_07_07_173,0,0,0,0,0.0007046759,2.114177E-06,0.136037,7.563116E-07,0.009255027,-2.331544E-05,0,2.768402E-06,6.277284E-06,-7.475204E-08,0.01077725,-0.001504303,-0.04980604,,,
2024_02_10_00_07_07_211,0,0,0,0,0.0007035434,2.118745E-06,0.1360371,6.404447E-07,0.009255117,-2.335433E-05,0,1.122662E-06,-0.0001072641,-4.971887E-08,-0.005703783,-0.0003431871,0.02293094,,,
2024_02_10_00_07_07_248,0,0,0,0,0.0007020831,2.122817E-06,0.1360369,4.244712E-07,0.009255026,-2.345038E-05,0,1.067153E-06,-3.254684E-05,-3.483552E-08,0.0014674,-0.0002914198,0.02292932,,,
2024_02_10_00_07_07_286,0,0,0,0,0.0007015169,2.125914E-06,0.1360369,3.576978E-07,0.009254758,-2.346653E-05,0,-1.496914E-05,6.617998E-06,6.826247E-08,0.0005110721,0.002865714,-0.03811398,,,
2024_02_10_00_07_07_323,0,0,0,0,0.0007013679,2.128643E-06,0.1360369,-8.392216E-07,0.009254937,-2.342955E-05,0,1.408192E-05,3.758115E-05,-1.832255E-08,0.005805807,-0.001695835,-0.04992004,,,
2024_02_10_00_07_07_361,0,0,0,0,0.0007011294,2.131405E-06,0.1360369,2.891456E-07,0.009255085,-2.346018E-05,0,-1.08631E-05,-3.928199E-05,-3.547289E-08,-0.001521826,0.0002986304,-0.0458316,,,
2024_02_10_00_07_07_399,0,0,0,0,0.0006995499,2.136157E-06,0.136037,-1.740945E-07,0.009255116,-2.352235E-05,0,2.858214E-07,-3.758644E-05,2.607804E-09,-0.001002194,-8.171099E-07,0.03040225,,,
