2024_04_25_01_05_34_832,0,0.005210158,0.1,0.2,24.72639,-49.99872,1.686302,0.01140312,0.009521337,6.26979,0.3,-2.882467E-05,0.0001848864,-0.0007338012,0.04376674,-0.007119262,0.2175891
2024_04_25_01_05_34_925,0.0,0.005210158,0,0,24.72639,-49.9987,1.686302,0.01140046,0.009522163,6.269712,0.0,-0.0001371012,-6.577936e-05,-0.0007471082,-0.01585635,0.01184401,-0.09063813
2024_04_25_01_05_35_025,0.0,0.005210158,0,0,24.72639,-49.99868,1.686302,0.01139673,0.009522549,6.269639,0.0,-4.888529e-05,4.556216e-05,-0.0007347828,0.009659037,0.006700196,0.03046301
2024_04_25_01_05_35_130,0.0,0.005210158,0,0,24.72639,-49.99867,1.686302,0.01139354,0.009523309,6.269561,0.0,-0.0001209227,-1.215335e-05,-0.000743473,-0.002155779,0.00410038,-0.0001059343
2024_04_25_01_05_35_233,0.2143549,0.005210158,7,7,24.72934,-49.99872,1.685978,0.01160659,0.008382523,6.269179,0.13,0.001982208,-0.02994622,-0.01392858,4.28424,0.02960884,-0.3420352
2024_04_25_01_05_35_346,0.3838054,0.005210158,91,91,24.7638,-49.99863,1.684151,0.008418252,0.006485797,6.266171,0.5,-0.07040431,-0.00878334,-0.04724986,3.356904,0.1217667,-0.1131734
2024_04_25_01_05_35_447,0.5,0.005210158,255,258,24.8315,-49.99899,1.683558,0.006896522,0.003032548,6.263569,0.75,0.03262975,-0.05864261,0.01873595,1.345515,-0.01668744,0.0008065253
2024_04_25_01_05_35_551,0.5,0.005210158,463,459,24.91541,-50.0007,1.684017,0.005113269,0.00129889,6.266051,0.85,-0.0582857,0.01962898,0.02304904,0.6216764,0.1014052,0.004171627
2024_04_25_01_05_35_659,0.5,0.005210158,698,683,25.00916,-50.00236,1.683236,0.001636779,6.280711,6.269943,0.88,-0.05102839,-0.0321952,0.02340009,0.3683567,0.111443,-0.1148055
2024_04_25_01_05_35_759,0.5,0.005210158,916,898,25.09859,-50.00308,1.682595,6.280223,6.276993,6.27126,0.89,-0.04515588,-0.07639655,0.01808601,0.02330541,0.1074932,-0.3533414
2024_04_25_01_05_35_868,0.5,0.005210158,1152,1132,25.19624,-50.00353,1.683255,6.276062,6.274574,6.272789,0.9,0.01988181,0.02352369,0.02731076,0.01382828,-0.2012243,-0.046039
2024_04_25_01_05_35_971,0.5,0.005210158,1376,1365,25.28988,-50.00388,1.682747,6.275701,6.271983,6.271418,0.89,-0.01138732,-0.09571918,-0.02784155,0.01251697,-0.7904265,3.222917
2024_04_25_01_05_36_076,0.5,0.005210158,1596,1595,25.38249,-50.00429,1.684693,6.27711,6.269089,6.270016,0.88,0.0471254,0.04142732,-0.02873828,-0.1558661,0.2106167,-0.0688117
