2024_04_20_16_11_19_319,0,0.1,0.2,0.3,24.72638,-49.99947,1.686297,0.0115448,0.009487347,6.27327,0.4,4.535926E-05,-8.529004E-05,-0.0007418423,-0.002968998,-0.003123074,-0.0002015858
2024_04_20_16_11_19_420,0.0,0.0,0,0,24.72638,-49.99945,1.686298,0.01154267,0.009488227,6.273196,0.0,3.254157e-05,-0.0001090689,-0.0007506864,-0.01480197,0.003802735,-0.0001408662
2024_04_20_16_11_19_523,0.0,0.0,0,0,24.72638,-49.99944,1.686298,0.01153894,0.009489048,6.27312,0.0,0.0002262664,7.694237e-06,-0.000739672,0.005344045,-0.02889862,0.02967066
2024_04_20_16_11_19_623,0.0,0.0,0,0,24.72638,-49.99942,1.686298,0.01153628,0.009489747,6.273046,0.0,-9.58419e-05,-3.052805e-05,-0.0007410171,0.003151654,0.004931818,0.003666042
2024_04_20_16_11_19_740,0.0,0.0,0,0,24.72638,-49.9994,1.686298,0.01153309,0.009490507,6.27296,0.0,-1.804173e-05,0.0001191026,-0.0007361458,0.01266604,0.008845236,0.0313631
2024_04_20_16_11_19_842,0.0,0.0,0,0,24.72638,-49.99938,1.686298,0.01152989,0.00949091,6.272885,0.0,0.0001230246,0.000140911,-0.0007349161,0.01663033,-0.004138244,-2.843444e-05
2024_04_20_16_11_19_957,0.009979151,0.0,0,0,24.72647,-49.99935,1.68628,0.01152829,0.009417883,6.272714,0.01,0.0004034017,-0.002714401,-0.002841402,-0.02922956,-0.03975467,0.02015183
2024_04_20_16_11_20_072,0.07972261,0.0,8,15,24.73309,-49.99926,1.685849,0.01118048,0.008754898,6.271733,0.11,-0.008603444,-0.004478605,-0.01246194,0.9967237,0.01147948,-0.08413335
2024_04_20_16_11_20_174,0.140225,0.0,46,55,24.74998,-49.99911,1.684973,0.009548497,0.008389755,6.270384,0.23,-0.03260353,-0.002780962,-0.02330476,1.763373,0.1141587,0.0651516
2024_04_20_16_11_20_289,0.2,0.5235988,115,140,24.78284,-49.99872,1.684101,0.006528473,0.008100735,6.280728,0.3,-0.01502624,-0.003730965,0.2573271,0.0641048,0.1890585,0.04482595
2024_04_20_16_11_20_390,0.2,0.5235988,171,230,24.81366,-49.99759,1.683891,0.005179316,0.007463024,0.02367657,0.31,-0.01004985,-0.0002748501,0.2652825,-0.009596348,-0.08520483,0.09180512
2024_04_20_16_11_20_490,0.2,0.5235988,227,321,24.84475,-49.99566,1.684102,0.004201403,0.007531675,0.0502938,0.31,-0.01661837,0.006465636,0.2612648,-0.01361966,-0.00180304,0.02139667
2024_04_20_16_11_20_605,0.2,0.5235988,291,424,24.88012,-49.99232,1.684617,0.0021268,0.008518859,0.08049884,0.31,-0.01996846,0.009111863,0.2604085,0.002384186,0.0002458692,-0.01471583
2024_04_20_16_11_20_708,0.2,0.5235988,347,515,24.91081,-49.98854,1.685011,0.0002764361,0.00906193,0.1067011,0.31,-0.02655021,-0.003607254,0.2565355,0.05805492,0.01119077,-0.04535913
2024_04_20_16_11_20_822,0.2,0.5235988,411,619,24.94599,-49.98327,1.684839,6.281284,0.008107505,0.1367081,0.31,-0.01755176,-0.01135659,0.2605434,-0.09849667,0.006958842,0.03363751
2024_04_20_16_11_20_923,0.2,0.5235988,467,710,24.97615,-49.97798,1.684586,6.279793,0.007012596,0.1626227,0.3,-0.01621269,-0.01028279,0.2618204,-0.96035,-0.004574656,-0.06312318
2024_04_20_16_11_21_022,0.2,0.5235988,523,800,25.00612,-49.9719,1.684335,6.27845,0.005791249,0.1880964,0.31,0.0003120827,-0.03082113,0.2359919,0.1822412,-0.2062768,0.07993634
2024_04_20_16_11_21_125,0.2,0.5235988,586,894,25.03839,-49.96432,1.684063,6.278416,0.003215024,0.2122731,0.34,-0.005993283,-0.02179829,0.2458459,0.1491308,0.04618615,-0.02921186
2024_04_20_16_11_21_238,0.2,0.5235988,661,1007,25.07665,-49.954,1.683725,6.277353,0.001074403,0.2408579,0.35,-0.01307872,-0.01867617,0.2504078,0.07024407,0.01396984,0.01652155
2024_04_20_16_11_21_341,0.2,0.5235988,728,1107,25.11062,-49.9437,1.68338,6.276021,6.282564,0.2663688,0.35,-0.01316673,-0.0183834,0.2539924,0.03620982,0.006340444,-0.07435336
2024_04_20_16_11_21_456,0.2,0.5235988,806,1223,25.14973,-49.93066,1.682978,6.274458,6.280648,0.2959635,0.35,-0.01285649,-0.01879163,0.2554737,0.01549721,0.006467103,-0.04568824
2024_04_20_16_11_21_557,0.2,0.5235988,874,1325,25.18359,-49.91834,1.682571,6.272945,6.278955,0.3217961,0.36,-0.02481332,-0.02044091,0.2518963,0.05856156,0.08139013,-0.08034426
2024_04_20_16_11_21_674,0.2,0.5235988,953,1442,25.22227,-49.9027,1.681999,6.268912,6.27769,0.3518185,0.36,-0.04546805,-0.002565823,0.2592659,0.05728006,0.004820526,-0.08503464
2024_04_20_16_11_21_774,0.2,0.5235988,1021,1543,25.25534,-49.88803,1.681875,6.264485,6.277835,0.377811,0.36,-0.03679666,-0.003306037,0.2600898,0.003546476,-0.02469867,0.06860191
2024_04_20_16_11_21_875,0.2,0.5235988,1089,1645,25.2881,-49.87254,1.681654,6.261509,6.277206,0.4040782,0.36,-0.02565924,-0.01386152,0.2627431,-0.02467632,0.01183897,-0.1529406
2024_04_20_16_11_21_988,0.2,0.5235988,1167,1763,25.32538,-49.8539,1.681641,6.259352,6.276458,0.4347759,0.36,-0.01359371,-0.0121051,0.2639788,0.002741813,-0.03058463,0.1707147
2024_04_20_16_11_22_091,0.2,0.5235988,1235,1864,25.35705,-49.83695,1.681712,6.257765,6.275933,0.4612941,0.35,-0.01434236,-0.01082739,0.2619937,-0.01630187,0.002682209,0.04472863
2024_04_20_16_11_22_192,0.2,0.5235988,1302,1966,25.38835,-49.81913,1.681781,6.256058,6.276051,0.487595,0.36,-0.01584452,-0.01093408,0.2566864,-0.01865625,-0.02558529,-0.1173299
